Symbol;Name;Price (Intraday);Avg Vol (3 month);Market Cap
NXPI;NXP Semiconductors N.V.;84;7.043M;24.822B
IR;Ingersoll-Rand Plc;100.58;1.675M;24.708B
UAL;United Continental Holdings, Inc.;89.88;3.205M;24.489B
KR;The Kroger Co.;30.66;9.511M;24.449B
PAYX;Paychex, Inc.;66.77;2.103M;23.976B
ED;Consolidated Edison, Inc.;76.76;1.834M;23.905B
DFS;Discover Financial Services;69.68;1.943M;23.41B
CRH;CRH plc;29.2742;664930;23.803B
DLR;Digital Realty Trust, Inc.;110.77;1.455M;23.774B
CMI;Cummins Inc.;145.31;1.496M;23.258B
TROW;T. Rowe Price Group, Inc.;98.215;1.323M;23.636B
MTB;M&T Bank Corporation;164.22;844158;23.613B
ZBH;Zimmer Biomet Holdings, Inc.;115.14;1.053M;23.486B
RSG;Republic Services, Inc.;72.23;1.287M;23.444B
HPE;Hewlett Packard Enterprise Company;15.91;10.036M;23.414B
HRL;Hormel Foods Corporation;43.98;2.762M;23.447B
TEVA;Teva Pharmaceutical Industries Limited;22.99;12.023M;23.42B
LRCX;Lam Research Corporation;150.39;3.101M;23.338B
BF-B;Brown-Forman Corporation;48.39;1.629M;23.328B
ANDV;Andeavor;0;1.281M;0
TSN;Tyson Foods, Inc.;62.68;2.515M;22.936B
PPERY;PT Bank Mandiri (Persero) Tbk;9.8;95975;22.916B
CTL;CenturyLink, Inc.;21.065;10.951M;22.753B
PDD;Pinduoduo Inc.;20.47;6.157M;22.673B
EIX;Edison International;68.46;2.025M;22.305B
K;Kellogg Company;64.13;1.94M;22.254B
CCE;Coca-Cola European Partners plc;46.63;1.581M;22.209B
PPL;PPL Corporation;30.8;4.79M;22.182B
RCL;Royal Caribbean Cruises Ltd.;106.07;1.812M;22.168B
PH;Parker-Hannifin Corporation;167.27;1.188M;22.149B
DISCK;Discovery, Inc.;29.8477;2.465M;22.108B
DISCA;Discovery, Inc.;33.05;4.146M;22.078B
RACE;Ferrari N.V.;116.16;766786;21.913B
ROK;Rockwell Automation Inc.;175.85;1.06M;21.659B
LNG;Cheniere Energy, Inc.;60.38;2.184M;21.63B
CBS;CBS Corporation;57.73;3.292M;21.619B
COL;Rockwell Collins, Inc.;130.79;1.45M;21.497B
XLNX;Xilinx, Inc.;84.85;2.679M;21.471B
WEC;WEC Energy Group, Inc.;67.88;2.008M;21.418B
AMD;Advanced Micro Devices, Inc.;21.24;124.709M;21.227B
NTRS;Northern Trust Corporation;95.98;1.377M;21.249B
DB;Deutsche Bank Aktiengesellschaft;10.38;4.735M;21.334B
VTR;Ventas, Inc.;58.73;2.233M;21.079B
A;Agilent Technologies, Inc.;66.04;2.413M;21.052B
AVVIY;Aviva plc;10.92;168661;21.04B
NTAP;NetApp, Inc.;80.4;2.588M;20.845B
HLT;Hilton Worldwide Holdings Inc.;69.74;3.792M;20.683B
PCAR;PACCAR Inc;59.08;2.082M;20.645B
INFO;IHS Markit Ltd.;52.22;1.602M;20.583B
WY;Weyerhaeuser Company;27.485;4.165M;20.592B
DLTR;Dollar Tree, Inc.;85.74;4.091M;20.397B
DXC;DXC Technology Company;72.515;2.064M;20.388B
CLX;The Clorox Company;158.04;976781;20.174B
APTV;Aptiv PLC;76.47;2.414M;20.148B
WLTW;Willis Towers Watson Public Limited Company;154.1;616675;20.024B
WCN;Waste Connections, Inc.;75.13;676112;19.797B
NUE;Nucor Corporation;61.96;2.509M;19.601B
BBY;Best Buy Co., Inc.;71.32;3.408M;19.581B
ETE;Energy Transfer Equity, L.P.;16.82;5.798M;19.517B
MKC;McCormick & Company, Incorporated;147.425;877416;19.4B
SYF;Synchrony Financial;26.94;5.309M;19.363B
LBTYK;Liberty Global plc;24.84;2.94M;19.225B
KEY;KeyCorp;18.585;11.62M;19.227B
VRSN;VeriSign, Inc.;158.98;867973;19.219B
LBTYA;Liberty Global plc;25.375;1.776M;19.24B
VIV;Telefônica Brasil S.A.;11.79;2.196M;19.063B
SBAC;SBA Communications Corporation;165.87;739069;19.049B
FE;FirstEnergy Corp.;37.19;3.529M;19.021B
FITB;Fifth Third Bancorp;27.965;5.307M;18.495B
TDG;TransDigm Group Incorporated;360.25;425373;18.959B
IP;International Paper Company;46.69;3.393M;18.911B
CERN;Cerner Corporation;57.195;1.908M;18.845B
MYL;Mylan N.V.;36.4925;4.907M;18.814B
SWK;Stanley Black & Decker, Inc.;124.36;1.499M;18.786B
EXPE;Expedia Group, Inc.;126.04;1.66M;18.777B
LULU;Lululemon Athletica Inc.;140.94;1.983M;18.656B
CTRP;Ctrip.com International, Ltd.;34.15;5.474M;18.619B
RF;Regions Financial Corporation;17.57;11.878M;18.536B
CLR;Continental Resources, Inc.;49.58;1.965M;18.442B
ALGN;Align Technology, Inc.;229.1;1.085M;18.324B
ANET;Arista Networks, Inc.;245.02;1.218M;18.333B
O;Realty Income Corporation;61.53;2.011M;18.201B
AMP;Ameriprise Financial, Inc.;127.57;888106;18.098B
CFG;Citizens Financial Group, Inc.;37.78;4.224M;17.981B
TS;Tenaris S.A.;30.56;1.946M;17.912B
ABC;AmerisourceBergen Corporation;82.31;1.23M;17.808B
GPN;Global Payments Inc.;112.495;1.105M;17.798B
SEP;Spectra Energy Partners, LP;36.68;849641;17.786B
FCX;Freeport-McMoRan Inc.;12.2;19.622M;17.678B
HRS;Harris Corporation;150.12;885433;17.663B
PANW;Palo Alto Networks, Inc.;186.54;1.319M;17.593B
SOMLY;SECOM CO., LTD.;19.83;42681;17.507B
CHKP;Check Point Software Technologies Ltd.;111.84;1.058M;17.47B
FDC;First Data Corporation;18.625;10.161M;17.443B
ULTA;Ulta Beauty, Inc.;291.035;935335;17.395B
TEAM;Atlassian Corporation Plc;73.01;1.672M;17.355B
HES;Hess Corporation;57.76;3.102M;17.31B
AME;AMETEK, Inc.;74.54;1.27M;17.302B
NEM;Newmont Mining Corporation;32.18;6.293M;17.141B
BMRN;BioMarin Pharmaceutical Inc.;96.31;1.231M;17.149B
CAG;Conagra Brands, Inc.;35.07;6.169M;17.03B
OMC;Omnicom Group Inc.;75.54;2.542M;16.929B
PAA;Plains All American Pipeline, L.P.;23.22;2.679M;16.848B
MGA;Magna International Inc.;49.54;1.52M;16.667B
DVN;Devon Energy Corporation;32.7;6.566M;16.638B
CHD;Church & Dwight Co., Inc.;67.34;1.54M;16.581B
TAL;TAL Education Group;29.21;6.237M;16.571B
HIG;The Hartford Financial Services Group, Inc.;46.01;2.67M;16.505B
TSS;Total System Services, Inc.;90.46;1.324M;16.502B
IAC;IAC/InterActiveCorp;197.22;906072;16.412B
MCHP;Microchip Technology Incorporated;69.54;4.467M;16.381B
RYAAY;Ryanair Holdings plc;84.69;604215;16.246B
AAL;American Airlines Group Inc.;35.16;8.185M;16.194B
BEN;Franklin Resources, Inc.;31.08;3.63M;16.134B
BLL;Ball Corporation;47.47;3.073M;16.101B
SKM;SK Telecom Co., Ltd.;26.16;515041;16.051B
IFF;International Flavors & Fragrances Inc.;149.4;1.182M;15.934B
